@relation 'emodb-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute pitchAcMeanAbsoluteSlope numeric
@attribute pitchAcSlopeWithoutOctaveJumps numeric
@attribute pitchCcStdev numeric
@attribute pitchCcSlopeWithoutOctaveJumps numeric
@attribute pitchSpiStdev numeric
@attribute pitchSpiSlopeWithoutOctaveJumps numeric
@attribute pitchShsMin numeric
@attribute pitchShsQuantile numeric
@attribute pitchShsMean numeric
@attribute pitchShsStdev numeric
@attribute pitchShsSlopeWithoutOctaveJumps numeric
@attribute ppccStdevPeriod numeric
@attribute ppccJitterRap numeric
@attribute pppJitterRap numeric
@attribute pppJitterPpq5 numeric
@attribute harmAcMean numeric
@attribute harmAcStdev numeric
@attribute harmGneStdev numeric
@attribute ltasMin numeric
@attribute freqOfMaximum numeric
@attribute ltasSlope numeric
@attribute pcValueAtFreq numeric
@attribute pcFreqOfMaximum numeric
@attribute pcLtasSlope numeric
@attribute formantLpcQuantile numeric
@attribute formantLpcMean numeric
@attribute intensityMin numeric
@attribute intensityQuantile numeric
@attribute emotion? {anger,boredom,disgust,fear,happiness,sadness,neutral}

@data
494.274222,39.660456,54.008936,47.112265,23.649948,25.775424,81.142906,167.763421,173.756713,59.753857,52.4949,0.001619,0.009509,0.024542,0.025835,5.943325,6.083196,0.401531,-6.293535,650,-11.397349,34.790641,650,-13.281769,660.829007,845.025194,33.984014,66.827084,happiness
221.711081,31.108587,25.045529,63.514331,28.651352,15.366048,55.555995,112.992464,123.660795,56.797042,65.504589,0.001843,0.014358,0.025587,0.023922,6.297461,5.450246,0.418234,-5.675903,550,-13.292827,39.971878,550,-14.233259,599.946325,757.752242,30.468713,70.100443,neutral
414.019804,34.986975,41.973114,42.656516,65.148609,47.851571,54.813729,191.59568,200.210261,62.519949,43.98086,0.001038,0.008414,0.02369,0.02545,5.127837,7.250169,0.387616,5.10241,550,-4.353557,39.173981,550,-5.176655,852.5856,887.809525,22.912821,70.680452,anger
483.542681,30.831962,54.64118,36.900975,46.05181,40.212554,63.579192,228.564703,235.139665,59.765766,34.620728,0.000958,0.007699,0.028902,0.031268,11.260762,6.512038,0.374759,9.736807,350,-11.497345,28.453831,350,-12.857494,683.930336,767.306976,32.824333,70.287303,happiness
188.222452,27.809766,19.798207,45.963509,28.914672,112.481914,66.408052,122.542633,116.330358,24.757461,38.029022,0.001535,0.010869,0.022123,0.019765,7.800594,5.070607,0.408088,4.593035,250,-17.222683,32.309721,450,-17.833805,520.691305,741.251795,37.83814,71.443298,neutral
134.296377,22.86056,11.115558,44.204041,8.44772,46.63332,48.888202,105.236116,108.498028,50.204575,50.185376,0.000918,0.014181,0.017399,0.018086,6.366962,7.395639,0.358836,15.089288,150,-19.044204,26.47666,150,-22.79313,792.552,901.222539,37.806748,70.505321,sadness
523.543866,40.088456,52.201397,53.541578,32.535487,28.986937,66.052562,184.603265,201.293974,67.951622,68.77512,0.001148,0.009205,0.020835,0.021284,6.390891,6.800752,0.388332,8.341964,350,-7.285352,31.956539,350,-7.997588,904.544838,944.23467,30.576672,68.51015,anger
608.51187,40.4321,50.754004,57.579174,80.844094,53.492586,82.501246,247.900984,237.983989,64.807837,71.728777,0.000876,0.008073,0.025121,0.02449,6.410563,3.905612,0.418813,3.865449,950,-4.192144,39.401164,950,-4.127559,908.315671,918.279371,24.016391,65.377265,anger
636.831762,48.400138,33.237566,71.934216,33.116552,60.224765,66.827739,223.736827,219.51759,40.856961,62.552755,0.00057,0.012882,0.039119,0.039588,7.569887,5.131468,0.364845,5.29263,250,-11.740035,37.701917,550,-12.062215,752.728624,851.095729,34.18799,70.188627,fear
462.866891,38.940705,55.468479,49.773073,88.533954,21.393575,82.663567,204.866181,197.747849,64.936181,52.104843,0.001472,0.009741,0.025524,0.028212,5.41701,5.606832,0.396167,0.533884,650,-8.180959,38.179902,650,-7.812605,782.490282,836.276755,29.530322,62.668446,happiness
