@relation emodb

@attribute energy numeric
@attribute power numeric
@attribute eia numeric
@attribute pia numeric
@attribute intensity numeric
@attribute pitchMin numeric
@attribute pitchMax numeric
@attribute pitchMean numeric
@attribute pitchStdev numeric
@attribute pitchAcMin numeric
@attribute pitchAcMax numeric
@attribute pitchAcQuantile numeric
@attribute pitchAcMean numeric
@attribute pitchAcStdev numeric
@attribute pitchAcMeanAbsoluteSlope numeric
@attribute pitchAcSlopeWithoutOctaveJumps numeric
@attribute pitchCcMin numeric
@attribute pitchCcMax numeric
@attribute pitchCcQuantile numeric
@attribute pitchCcMean numeric
@attribute pitchCcStdev numeric
@attribute pitchCcMeanAbsoluteSlope numeric
@attribute pitchCcSlopeWithoutOctaveJumps numeric
@attribute pitchSpiMin numeric
@attribute pitchSpiMax numeric
@attribute pitchSpiQuantile numeric
@attribute pitchSpiMean numeric
@attribute pitchSpiStdev numeric
@attribute pitchSpiMeanAbsoluteSlope numeric
@attribute pitchSpiSlopeWithoutOctaveJumps numeric
@attribute pitchShsMin numeric
@attribute pitchShsMax numeric
@attribute pitchShsQuantile numeric
@attribute pitchShsMean numeric
@attribute pitchShsStdev numeric
@attribute pitchShsMeanAbsoluteSlope numeric
@attribute pitchShsSlopeWithoutOctaveJumps numeric
@attribute ppccNumberOfPts numeric
@attribute ppccLowIndex numeric
@attribute ppccHighIndex numeric
@attribute ppccNearestIndex numeric
@attribute ppccNumberOfPeriods numeric
@attribute ppccMeanPeriod numeric
@attribute ppccStdevPeriod numeric
@attribute ppccJitterLocal numeric
@attribute ppccJitterLocalAbs numeric
@attribute ppccJitterRap numeric
@attribute ppccJitterPpq5 numeric
@attribute ppccJitterDdp numeric
@attribute pppNumberOfPts numeric
@attribute pppLowIndex numeric
@attribute pppHighIndex numeric
@attribute pppNearestIndex numeric
@attribute pppNumberOfPeriods numeric
@attribute pppMeanPeriod numeric
@attribute pppStdevPeriod numeric
@attribute pppJitterLocal numeric
@attribute pppJitterLocalAbs numeric
@attribute pppJitterRap numeric
@attribute pppJitterPpq5 numeric
@attribute pppJitterDdp numeric
@attribute harmCcMin numeric
@attribute harmCcMax numeric
@attribute harmCcMean numeric
@attribute harmCcStdev numeric
@attribute harmAcMin numeric
@attribute harmAcMax numeric
@attribute harmAcMean numeric
@attribute harmAcStdev numeric
@attribute harmGneSum numeric
@attribute harmGneMean numeric
@attribute harmGneStdev numeric
@attribute valueAtFreq numeric
@attribute valueInBin numeric
@attribute ltasMin numeric
@attribute freqOfMinimum numeric
@attribute ltasMax numeric
@attribute freqOfMaximum numeric
@attribute ltasMean numeric
@attribute ltasSlope numeric
@attribute localPeakHeight numeric
@attribute ltasStdev numeric
@attribute pcValueAtFreq numeric
@attribute pcValueInBin numeric
@attribute pcLtasMin numeric
@attribute pcFreqOfMinimum numeric
@attribute pcLtasMax numeric
@attribute pcFreqOfMaximum numeric
@attribute pcLtasMean numeric
@attribute pcLtasSlope numeric
@attribute pcLocalPeakHeight numeric
@attribute pcLtasStdev numeric
@attribute formantLpcMax numeric
@attribute formantLpcQuantile numeric
@attribute formantLpcMean numeric
@attribute formantLpcStd numeric
@attribute mfcc numeric
@attribute intensityMin numeric
@attribute intensityMax numeric
@attribute intensityQuantile numeric
@attribute intensityMean numeric
@attribute intensityStdev numeric
@attribute emotion? {anger,boredom,disgust,fear,happiness,sadness,neutral}

@data
0.012863,0.006776,0.000032,0.000017,72.289259,97.849241,263.583016,169.722165,45.270714,97.849241,263.583016,167.987659,169.722165,45.270714,494.274222,39.660456,96.870371,471.72996,168.184797,174.905869,54.008936,724.960005,47.112265,74.07688,174.566491,87.281234,96.229272,23.649948,291.611508,25.775424,81.142906,417.960494,167.763421,173.756713,59.753857,1420.746657,52.4949,166,45,46,46,159,0.005885,0.001619,0.025915,0.000153,0.009509,0.013088,0.028528,176,48,49,49,169,0.005892,0.001667,0.048892,0.000288,0.024542,0.025835,0.073625,-227.4538,48.084894,9.312887,6.714375,-227.184795,43.5299,5.943325,6.083196,816.830137,0.314045,0.401531,34.987937,21.475519,-6.293535,7950,43.822202,650,33.258359,-11.397349,-1.029928,37.111275,34.790641,13.56406,9.11463,4650,43.923445,650,34.768997,-13.281769,-2.398431,37.662691,2682.100798,660.829007,845.025194,544.912753,48.714874,33.984014,83.511285,66.827084,72.42441,11.879173,happiness
0.025298,0.015701,0.000063,0.000039,75.938697,84.401309,170.098562,118.744787,24.841227,84.401309,170.098562,116.791523,118.744787,24.841227,221.711081,31.108587,80.870792,204.931044,116.492082,119.137063,25.045529,458.096699,63.514331,81.273958,163.62832,103.842177,113.907849,28.651352,233.096082,15.366048,55.555995,412.375597,112.992464,123.660795,56.797042,1493.102408,65.504589,88,38,39,39,82,0.008416,0.001843,0.033511,0.000282,0.014358,0.015446,0.043074,98,39,40,40,92,0.008424,0.001863,0.052486,0.000442,0.025587,0.023922,0.076762,-226.447119,31.306677,9.647003,7.039368,-226.34544,27.737157,6.297461,5.450246,844.046962,0.324509,0.418234,40.108811,22.104814,-5.675903,7750,48.08535,550,36.907797,-13.292827,0.281612,41.383815,39.971878,9.781429,8.59159,4750,47.299807,550,38.380044,-14.233259,-2.287236,41.578583,1843.386445,599.946325,757.752242,434.157592,57.991153,30.468713,85.496638,70.100443,76.101619,14.252249,neutral
0.030476,0.016229,0.000076,0.000041,76.082433,143.108683,300.503007,203.607145,42.475329,143.108683,300.503007,192.736388,203.607145,42.475329,414.019804,34.986975,143.072577,301.089592,191.2166,202.184108,41.973114,495.27656,42.656516,70.736093,394.290152,84.960952,108.264832,65.148609,1009.137284,47.851571,54.813729,563.948352,191.59568,200.210261,62.519949,846.088677,43.98086,190,43,44,44,184,0.004964,0.001038,0.024391,0.000121,0.008414,0.010682,0.025241,200,46,47,47,193,0.004959,0.001096,0.046106,0.000229,0.02369,0.02545,0.071069,-226.492706,34.142366,7.639301,8.074139,-226.179715,34.746442,5.127837,7.250169,783.847263,0.301364,0.387616,41.010415,26.156479,5.10241,7950,47.565168,550,37.051533,-4.353557,0.201409,39.85669,39.173981,14.990071,14.990071,4950,47.128668,550,38.484917,-5.176655,0.185006,40.035,2443.6999,852.5856,887.809525,432.54184,36.151632,22.912821,86.130664,70.680452,76.22791,16.101719,anger
0.031089,0.015496,0.000078,0.000039,75.881595,144.69383,365.909104,244.864326,54.580407,144.69383,365.909104,234.118376,244.864326,54.580407,483.542681,30.831962,143.924504,366.423631,234.037255,244.740609,54.64118,567.47732,36.900975,72.890398,278.892259,99.133681,113.714402,46.05181,723.9208,40.212554,63.579192,405.915223,228.564703,235.139665,59.765766,858.580243,34.620728,287,83,84,84,278,0.004125,0.000958,0.019637,0.000081,0.007699,0.01026,0.023097,300,87,88,88,293,0.004123,0.000985,0.052385,0.000216,0.028902,0.031268,0.086705,-228.621272,39.242837,13.682344,7.660213,-229.091863,59.974114,11.260762,6.512038,761.774956,0.292878,0.374759,29.584266,19.045246,9.736807,7950,49.757712,350,36.850696,-11.497345,0.087134,41.697956,28.453831,16.783814,16.14042,3250,50.175196,350,39.109643,-12.857494,0.532133,42.721563,2371.757212,683.930336,767.306976,453.744567,181.410825,32.824333,86.466172,70.287303,76.018887,14.439099,happiness
0.034776,0.024153,0.000087,0.00006,77.809131,81.390565,143.677779,118.183524,19.396782,81.390565,143.677779,124.585856,118.183524,19.396782,188.222452,27.809766,80.39056,166.042919,125.043606,118.921295,19.798207,330.623626,45.963509,66.561557,160.491633,121.199352,116.288774,28.914672,1206.903009,112.481914,66.408052,233.194239,122.542633,116.330358,24.757461,464.200374,38.029022,94,39,40,40,89,0.008539,0.001535,0.029247,0.00025,0.010869,0.015977,0.032606,98,42,43,43,93,0.008504,0.00151,0.045716,0.000389,0.022123,0.019765,0.06637,-226.688262,39.626397,10.955675,6.842023,-226.411508,37.658871,7.800594,5.070607,824.580331,0.317024,0.408088,31.707207,23.308477,4.593035,7950,51.243734,250,38.778231,-17.222683,-1.222819,44.083179,32.309721,18.430182,11.937792,4250,51.337904,450,40.651235,-17.833805,-1.3202,44.732175,2674.708419,520.691305,741.251795,511.058907,2.236202,37.83814,85.891942,71.443298,78.002343,13.249824,neutral
0.026926,0.015513,0.000067,0.000039,75.886433,84.944213,118.338569,104.461597,9.448579,84.944213,118.338569,106.390043,104.461597,9.448579,134.296377,22.86056,81.554926,153.507027,107.782109,105.320612,11.115558,276.154419,44.204041,72.274662,123.856006,107.34217,106.445893,8.44772,305.851973,46.63332,48.888202,528.616212,105.236116,108.498028,50.204575,1102.204755,50.185376,71,13,14,14,66,0.009615,0.000918,0.030415,0.000292,0.014181,0.014413,0.042542,79,16,17,17,74,0.009639,0.001053,0.045073,0.000434,0.017399,0.018086,0.052198,-226.856621,34.520569,9.030772,8.609921,-226.656088,39.848401,6.366962,7.395639,729.510857,0.280473,0.358836,27.949361,26.283501,15.089288,7950,50.833284,150,36.855533,-19.044204,-0.250292,42.594049,26.47666,8.417258,8.417258,4950,50.098726,150,38.354553,-22.79313,-0.684697,43.126931,2928.037929,792.552,901.222539,555.244818,58.90605,37.806748,84.127915,70.505321,76.048994,12.177637,sadness
0.023002,0.010832,0.000058,0.000027,74.326319,125.66432,322.856987,205.718144,48.717352,125.66432,322.856987,187.551578,205.718144,48.717352,523.543866,40.088456,124.181482,399.847819,190.142462,207.636304,52.201397,777.626976,53.541578,70.989848,308.959842,78.983919,86.165772,32.535487,553.895011,28.986937,66.052562,557.671092,184.603265,201.293974,67.951622,1821.786937,68.77512,238,40,41,41,231,0.004909,0.001148,0.024139,0.000118,0.009205,0.012544,0.027616,245,42,43,43,235,0.004918,0.001176,0.042588,0.000209,0.020835,0.021284,0.062506,-227.140966,42.736763,8.161075,6.828732,-225.969391,45.105939,6.390891,6.800752,788.51851,0.30316,0.388332,32.338786,21.646575,8.341964,7950,46.421892,350,35.295419,-7.285352,4.443631,38.572083,31.956539,18.52018,18.52018,4950,46.138525,350,36.980869,-7.997588,5.119791,39.086801,2580.270803,904.544838,944.23467,552.046201,-6.905874,30.576672,85.23076,68.51015,74.450358,12.737743,anger
0.015113,0.010089,0.000038,0.000025,74.017726,147.364983,334.784855,258.31046,51.363673,147.364983,334.784855,262.248329,258.31046,51.363673,608.51187,40.4321,133.003421,335.168897,255.314068,249.988887,50.754004,841.137788,57.579174,87.285802,478.049833,99.949097,126.634921,80.844094,1452.654718,53.492586,82.501246,412.018285,247.900984,237.983989,64.807837,1399.001109,71.728777,214,81,82,81,206,0.003962,0.000876,0.023276,0.000092,0.008073,0.010092,0.024218,220,82,83,82,210,0.003938,0.00088,0.051092,0.000201,0.025121,0.02449,0.075363,-226.139627,34.96801,9.465023,5.674383,-225.872914,28.389155,6.410563,3.905612,852.511566,0.327763,0.418813,40.541177,19.002597,3.865449,7950,44.601813,950,34.986826,-4.192144,-1.071007,37.985078,39.401164,17.362085,17.362085,4950,43.853713,950,36.798258,-4.127559,-0.424057,38.250847,2273.164758,908.315671,918.279371,431.091562,72.111644,24.016391,86.784678,65.377265,74.189454,14.517382,anger
0.020915,0.013898,0.000052,0.000035,75.408995,171.810286,294.450237,234.807659,28.49646,171.810286,294.450237,234.411643,234.807659,28.49646,636.831762,48.400138,89.121901,294.817,233.790237,232.092519,33.237566,1067.596573,71.934216,75.997608,243.225793,90.96613,100.072861,33.116552,786.646795,60.224765,66.827739,298.670563,223.736827,219.51759,40.856961,1238.841636,62.552755,209,72,73,73,199,0.004286,0.00057,0.028067,0.00012,0.012882,0.013435,0.038647,223,77,78,78,210,0.004245,0.000664,0.073739,0.000313,0.039119,0.039588,0.117357,-227.488342,39.263298,9.232337,7.452386,-226.579637,42.328812,7.569887,5.131468,742.88488,0.285615,0.364845,38.443093,22.999484,5.29263,7950,50.616012,250,36.378095,-11.740035,0.274126,41.96654,37.701917,19.220387,19.025525,3350,48.199691,550,36.879731,-12.062215,-1.21047,41.025205,2629.236172,752.728624,851.095729,511.65945,-50.798538,34.18799,84.717708,70.188627,75.577215,11.579519,fear
0.024378,0.014367,0.000061,0.000036,75.553083,114.296914,321.140035,203.962709,54.433435,114.296914,321.140035,218.680384,203.962709,54.433435,462.866891,38.940705,113.744979,321.896738,203.514711,195.529745,55.468479,685.119359,49.773073,82.485924,328.894029,229.30626,203.680668,88.533954,992.965517,21.393575,82.663567,413.507032,204.866181,197.747849,64.936181,1611.098901,52.104843,167,59,60,59,157,0.004932,0.001472,0.028633,0.000141,0.009741,0.014014,0.029222,181,65,66,65,171,0.004983,0.001497,0.055605,0.000277,0.025524,0.028212,0.076571,-228.520362,61.050339,9.3156,7.314098,-227.227406,47.125287,5.41701,5.606832,804.44299,0.309282,0.396167,39.112801,16.529747,0.533884,7950,47.883091,650,36.522183,-8.180959,-1.05173,40.52407,38.179902,15.774416,15.073648,4650,47.986527,650,38.150929,-7.812605,-1.186877,40.888617,2741.738325,782.490282,836.276755,468.579313,-68.792565,29.530322,86.212581,62.668446,75.701073,13.982005,happiness
